date,type,count,mean,std,min,25%,50%,75%,max
2010-01-27,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-01-28,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-01-29,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-01-30,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-01-31,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-02-01,access point,4.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-02-05,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-02-06,access point,3.0,3.3333333333333335,1.5275252316519465,2.0,2.5,3.0,4.0,5.0
2010-02-07,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-02-08,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-02-10,access point,2.0,2.5,2.1213203435596424,1.0,1.75,2.5,3.25,4.0
2010-02-12,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2010-02-17,access point,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
2010-02-21,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-02-22,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-02-24,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-02-26,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-02-28,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-03-03,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2010-03-06,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-03-08,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-03-09,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-03-11,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2010-03-20,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-03-22,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-03-24,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-03-26,access point,2.0,3.5,2.1213203435596424,2.0,2.75,3.5,4.25,5.0
2010-03-30,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-04-04,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-04-05,access point,3.0,3.6666666666666665,2.3094010767585034,1.0,3.0,5.0,5.0,5.0
2010-04-06,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-04-14,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-04-19,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
